sexo;comprimento;diametro;altura;peso total;peso carne;peso visceras;peso concha;aneis
F;0,62;0,51;0,16;14,47;0,63;0,28;0,37;11
M;0,62;0,5;0,17;1,35;0,64;0,25;0,32;9
F;0,63;0,49;0,16;1,27;0,47;0,16;0,41;11
F;0,63;0,49;0,2;1,55;0,59;0,29;0,38;11
M;0,63;0,51;0,17;14,78;0,45;0,28;0,41;14
M;0,64;0,51;0,17;1,53;0,62;0,31;0,39;9
F;0,64;0,5;0,15;17,59;0,65;0,36;0,31;10
F;0,64;0,49;0,17;1,52;0,67;0,26;0,27;9
F;0,64;0,51;0,17;17,32;0,76;0,33;0,32;8
M;0,65;0,53;0,18;2,01;0,68;0,32;0,4;11
M;0,66;0,52;0,17;2,2;0,59;0,29;0,41;9
M;0,66;0,58;0,21;11,47;0,96;0,34;0,6;17
M;0,66;0,53;0,17;1,02;0,59;0,21;0,45;15
M;0,66;0,52;0,19;12,26;0,76;0,3;0,4;10
F;0,67;0,59;0,16;10,31;0,54;0,29;0,41;10
F;0,68;0,53;0,17;11,15;0,78;0,39;0,46;12
F;0,68;0,53;0,16;1,29;0,63;0,34;0,42;9
F;0,68;0,56;0,2;13,07;0,86;0,32;0,42;11
F;0,69;0,54;0,16;10,27;0,83;0,38;0,48;11
F;0,7;0,56;0,22;11,61;0,85;0,42;0,46;11
M;0,73;0,6;0,23;10,13;11465;0,42;0,9;17
I;0,21;0,14;0,05;1,1;0,02;0,01;0,01;6
I;0,24;0,18;0,06;1,21;0,03;0,01;0,02;5
I;0,24;0,18;0,07;1,22;0,03;0,01;0,02;3
I;0,26;0,19;0,05;10,01;0,03;0,02;0,03;6
I;0,26;0,18;0,06;11,36;0,03;0,02;0,02;4
I;0,27;0,2;0,06;13,14;0,03;0,03;0,02;6
I;0,28;0,12;0,08;11,96;0,05;0,03;0,03;4
I;0,3;0,23;0,08;1,1;0,07;0,05;0,04;5
I;0,3;0,24;0,08;1,14;0,05;0,03;0,04;4
I;0,3;0,23;0,1;12,27;0,06;0,04;0,04;6
I;0,31;0,22;0,07;1,04;0,06;0,03;0,04;5
I;0,32;0,24;0,08;1,37;0,06;0,04;0,04;6
I;0,32;0,23;0,07;1,45;0,05;0,03;0,04;8
I;0,32;0,24;0,09;14,05;0,07;0,03;0,04;5
I;0,33;0,24;0,08;1,46;0,08;0,04;0,05;6
I;0,33;0,27;0,09;1,71;0,08;0,03;0,04;6
I;0,34;0,25;0,08;1,76;0,07;0,04;0,06;7
I;0,34;0,25;0,08;1,6;0,09;0,04;0,04;7
I;0,34;0,25;0,08;2,17;0,07;0,05;0,05;5
I;0,34;0,25;0,07;23,31;0,1;0,04;0,06;7
I;0,35;0,27;0,1;11,74;0,11;0,05;0,07;7
I;0,37;0,29;0,1;10,79;0,1;0,06;0,07;6
I;0,37;0,28;0,1;1,06;0,15;0,07;0,08;7
I;0,38;0,28;0,09;1,14;0,08;0,06;0,06;6
I;0,39;0,27;0,08;11,26;0,12;0,04;0,07;6
I;0,41;0,31;0,09;11,05;0,16;0,07;0,09;7
I;0,41;0,31;0,09;13,41;0,16;0,07;0,1;7
I;0,41;0,31;0,09;1,08;0,16;0,06;0,09;6
I;0,42;0,33;0,09;1,25;0,17;0,08;0,09;6
I;0,42;0,32;0,12;12,01;0,17;0,09;0,1;5
I;0,42;0,32;0,1;1,24;0,16;0,08;0,09;6
I;0,43;0,34;0,1;1,29;0,16;0,1;0,1;6
I;0,43;0,32;0,1;11,67;0,16;0,07;0,11;6
I;0,43;0,33;0,1;1,14;0,16;0,08;0,11;7
I;0,43;0,33;0,09;1,39;0,22;0,09;0,1;7
I;0,44;0,33;0,12;1,31;0,18;0,06;0,11;8
I;0,44;0,34;0,12;1,53;0,18;0,08;0,11;6
I;0,44;0,35;0,13;16,39;0,21;0,08;0,13;6
I;0,44;0,33;0,09;1,69;0,15;0,07;0,11;7
F;0,45;0,34;0,11;1,72;0,2;0,11;0,12;6
I;0,45;0,35;0,13;1,61;0,17;0,09;0,12;7
I;0,45;0,36;0,13;22,36;0,19;0,13;0,14;7
I;0,45;0,36;0,11;23,24;0,2;0,09;0,13;8
I;0,45;0,35;0,11;1,05;0,24;0,09;0,11;7
I;0,45;0,34;0,11;1,14;0,23;0,15;0,12;7
I;0,46;0,36;0,13;12,02;0,23;0,13;0,15;7
I;0,46;0,38;0,12;11,3;0,24;0,11;0,13;6
I;0,46;0,36;0,1;1,06;0,23;0,09;0,12;7
I;0,46;0,35;0,11;10,48;0,2;0,09;0,13;7
I;0,47;0,37;0,12;10,92;0,23;0,09;0,11;7
I;0,47;0,37;0,12;1,17;0,26;0,1;0,14;7
I;0,47;0,35;0,11;10,49;0,18;0,09;0,12;7
F;0,47;0,35;0,13;12,74;0,23;0,11;0,11;6
M;0,47;0,37;0,12;10,63;0,33;0,15;0,14;8
F;0,47;0,37;0,12;11,55;0,29;0,09;0,15;8
M;0,48;0,37;0,13;1,19;0,22;0,12;0,15;9
F;0,48;0,36;0,12;11,22;0,32;0,11;0,13;6
M;0,48;0,38;0,12;1,2;0,32;0,11;0,17;6
M;0,48;0,39;0,15;13,59;0,29;0,14;0,16;6
M;0,48;0,36;0,1;12,08;0,19;0,1;0,12;8
M;0,48;0,37;0,12;1,22;0,31;0,12;0,14;7
F;0,49;0,37;0,12;1,22;0,2;0,1;0,13;7
M;0,49;0,39;0,13;12,62;0,32;0,12;0,17;8
M;0,5;0,4;0,14;12,8;0,3;0,13;0,15;8
M;0,5;0,4;0,14;1,17;0,27;0,14;0,14;7
M;0,5;0,39;0,14;11,89;0,31;0,15;0,16;6
I;0,5;0,39;0,12;13,77;0,28;0,1;0,14;8
M;0,5;0,39;0,14;1,29;0,32;0,13;0,15;7
M;0,5;0,4;0,13;11,8;0,34;0,12;0,18;7
F;0,51;0,39;0,13;12,08;0,32;0,14;0,18;9
I;0,51;0,39;0,15;1,3;0,36;0,13;0,16;8
M;0,51;0,41;0,13;14,59;0,29;0,13;0,16;9
I;0,51;0,36;0,13;1,15;0,25;0,12;0,19;8
M;0,51;0,39;0,14;1,2;0,39;0,15;0,19;8
I;0,51;0,38;0,1;1,54;0,24;0,12;0,18;7
I;0,51;0,41;0,14;1,68;0,37;0,16;0,18;7
M;0,51;0,41;0,15;16,65;0,35;0,13;0,19;8
M;0,51;0,41;0,15;1,53;0,39;0,18;0,2;8
F;0,52;0,43;0,14;1,49;0,37;0,2;0,23;8
M;0,52;0,39;0,16;1,28;0,37;0,14;0,16;7
F;0,53;0,42;0,14;15,97;0,35;0,17;0,18;8
M;0,53;0,4;0,14;13,81;0,33;0,16;0,17;11
F;0,53;0,43;0,13;12,57;0,33;0,2;0,21;8
F;0,53;0,43;0,15;1,53;0,33;0,23;0,2;8
M;0,53;0,41;0,13;14,01;0,27;0,16;0,19;7
F;0,54;0,4;0,14;14,41;0,39;0,2;0,21;8
M;0,54;0,43;0,14;1,48;0,29;0,16;0,22;8
M;0,54;0,44;0,14;12,35;0,37;0,23;0,22;8
F;0,55;0,45;0,16;13,44;0,54;0,18;0,22;9
F;0,55;0,43;0,14;1,53;0,37;0,16;0,28;9
F;0,56;0,46;0,16;18,45;0,45;0,21;0,27;9
F;0,57;0,4;0,13;1,83;0,31;0,17;0,18;8
M;0,57;0,45;0,16;20,89;0,56;0,26;0,3;10
M;0,57;0,45;0,16;2,09;0,51;0,21;0,34;10
F;0,57;0,46;0,15;1,88;0,54;0,26;0,27;8
M;0,57;0,45;0,14;1,03;0,53;0,22;0,24;8
M;0,57;0,46;0,17;1,18;0,41;0,19;0,21;7
M;0,58;0,48;0,16;1,22;0,5;0,27;0,29;9
F;0,58;0,46;0,16;12,71;0,54;0,22;0,25;9
F;0,58;0,46;0,15;1,41;0,56;0,23;0,29;7
F;0,58;0,46;0,18;1,01;0,41;0,26;0,28;8
M;0,58;0,46;0,15;10,84;0,5;0,21;0,28;10
F;0,58;0,45;0,15;15,25;0,56;0,22;0,29;8
M;0,58;0,49;0,13;1,02;0,59;0,26;0,24;9
M;0,59;0,47;0,16;1,28;0,52;0,26;0,28;11
M;0,59;0,47;0,16;1,15;0,48;0,24;0,31;8
F;0,59;0,46;0,15;1,14;0,52;0,24;0,25;8
F;0,6;0,47;0,16;12,24;0,45;0,18;0,16;11
F;0,6;0,45;0,15;13,7;0,59;0,22;0,25;11
M;0,6;0,48;0,17;1,01;0,62;0,24;0,27;9
F;0,6;0,46;0,14;1,31;0,47;0,21;0,25;9
M;0,6;0,46;0,15;1,46;0,52;0,22;0,27;9
F;0,61;0,49;0,15;12,91;0,53;0,26;0,3;9
M;0,61;0,48;0,16;14,27;0,57;0,25;0,28;9
M;0,61;0,47;0,17;17,89;0,6;0,26;0,29;11
M;0,61;0,47;0,15;16,14;0,57;0,26;0,31;11
M;0,61;0,48;0,16;22,31;0,55;0,24;0,33;10
F;0,62;0,48;0,16;22,64;0,59;0,26;0,33;8
F;0,62;0,51;0,18;11,28;0,59;0,28;0,39;11
F;0,63;0,48;0,17;1,09;0,62;0,28;0,37;10
M;0,63;0,49;0,18;1,15;0,57;0,27;0,41;10
F;0,63;0,48;0,18;11,64;0,48;0,25;0,35;10
F;0,63;0,5;0,17;11,96;0,57;0,3;0,32;9
F;0,63;0,49;0,2;1,25;0,58;0,3;0,4;9
M;0,63;0,49;0,16;1,15;0,64;0,28;0,31;8
F;0,63;0,5;0,17;1,15;0,6;0,28;0,32;11
M;0,63;0,48;0,15;11,34;0,52;0,25;0,32;8
M;0,64;0,49;0,18;12,02;0,62;0,27;0,4;11
M;0,64;0,53;0,19;15,6;0,68;0,3;0,37;10
M;0,64;0,51;0,16;13,17;0,71;0,27;0,34;10
F;0,64;0,5;0,17;1,4;0,69;0,33;0,41;11
F;0,64;0,5;0,18;1,2;0,49;0,29;0,4;10
F;0,65;0,5;0,16;12,9;0,61;0,24;0,32;10
M;0,65;0,52;0,18;15,18;0,78;0,34;0,43;11
M;0,65;0,52;0,18;13,58;0,71;0,36;0,4;8
F;0,65;0,51;0,17;13,65;0,68;0,31;0,34;8
M;0,65;0,5;0,18;1,49;0,63;0,3;0,35;11
F;0,65;0,5;0,16;1,66;0,55;0,33;0,3;10
F;0,65;0,52;0,15;1,55;0,52;0,21;0,39;10
M;0,65;0,5;0,16;15,86;0,57;0,31;0,37;9
M;0,65;0,52;0,21;1,67;0,67;0,31;0,46;11
M;0,65;0,53;0,19;1,72;0,66;0,32;0,48;10
F;0,66;0,46;0,16;1,91;0,69;0,33;0,18;9
F;0,66;0,51;0,18;2,07;0,85;0,34;0,4;10
F;0,66;0,51;0,19;1,19;0,69;0,3;0,44;11
M;0,66;0,54;0,19;1,46;0,64;0,3;0,52;9
M;0,66;0,5;0,2;1,49;0,59;0,36;0,49;10
F;0,66;0,48;0,18;1,21;0,64;0,29;0,34;6
M;0,67;0,53;0,17;12,87;0,68;0,31;0,4;11
F;0,68;0,57;0,23;11,95;0,74;0,3;0,44;10
F;0,68;0,57;0,2;11,66;0,76;0,36;0,55;12
M;0,68;0,54;0,19;12,16;0,72;0,32;0,5;12
M;0,69;0,53;0,18;11,74;0,83;0,36;0,41;8
M;0,69;0,51;0,2;1,53;0,89;0,4;0,48;10
F;0,7;0,54;0,18;15,11;0,8;0,4;0,5;10
F;0,71;0,54;0,18;13,24;0,69;0,42;0,4;12
M;0,71;0,57;0,21;1,05;1012;0,52;0,55;11
M;0,72;0,57;0,18;12,79;0,76;0,42;0,41;10
F;0,72;0,53;0,19;18,75;0,67;0,38;0,41;11
F;0,74;0,6;0,22;1,98;11335;0,44;0,6;11
M;0,77;0,6;0,22;1,37;1007;0,51;0,62;12
I;0,19;0,13;0,05;1,74;0,01;0,01;0,01;4
I;0,2;0,15;0,05;1,19;0,02;0,01;0,01;3
I;0,2;0,14;0,04;1,15;0,01;0,01;0,01;4
I;0,2;0,16;0,04;1,57;0,02;0,01;0,01;4
I;0,23;0,17;0,06;1,15;0,03;0,01;0,02;4
I;0,25;0,18;0,07;1,11;0,03;0,01;0,02;4
I;0,25;0,18;0,07;1,31;0,02;0,02;0,02;5
I;0,27;0,2;0,06;1,71;0,04;0,02;0,03;7
I;0,28;0,2;0,07;22,7;0,05;0,02;0,03;6
I;0,28;0,21;0,09;13,32;0,04;0,02;0,03;5
I;0,29;0,22;0,07;1,03;0,04;0,02;0,03;5
I;0,3;0,22;0,08;1,02;0,06;0,03;0,04;6
I;0,32;0,24;0,06;1,51;0,07;0,03;0,04;6
I;0,32;0,23;0,09;13,04;0,07;0,03;0,04;6
I;0,34;0,27;0,08;13,96;0,09;0,05;0,06;5
I;0,37;0,28;0,1;10,06;0,12;0,03;0,06;6
I;0,38;0,28;0,08;11,35;0,11;0,05;0,07;6
I;0,38;0,28;0,1;10,84;0,12;0,04;0,07;6
I;0,39;0,29;0,08;10,92;0,12;0,05;0,07;7
I;0,4;0,32;0,1;1,27;0,19;0,05;0,09;6
I;0,41;0,3;0,11;14,99;0,17;0,04;0,09;7
I;0,41;0,3;0,1;12,36;0,13;0,06;0,09;7
I;0,41;0,33;0,1;1,4;0,13;0,07;0,11;6
I;0,42;0,3;0,11;13,77;0,13;0,07;0,1;7
I;0,42;0,32;0,11;12,77;0,17;0,06;0,11;7
I;0,42;0,31;0,1;12,96;0,13;0,05;0,09;6
I;0,43;0,33;0,12;12,32;0,16;0,09;0,1;7
M;0,43;0,34;0,12;1,38;0,2;0,09;0,1;7
I;0,44;0,33;0,11;1,16;0,21;0,1;0,1;6
I;0,44;0,35;0,12;1,48;0,22;0,07;0,11;7
I;0,44;0,33;0,11;15,72;0,15;0,08;0,12;7
I;0,45;0,35;0,11;15;0,17;0,1;0,12;7
I;0,45;0,34;0,15;1,47;0,19;0,09;0,13;7
I;0,45;0,34;0,11;1,09;0,2;0,09;0,11;8
I;0,45;0,37;0,13;18,17;0,21;0,1;0,13;8
I;0,45;0,34;0,12;16,37;0,24;0,11;0,12;6
I;0,45;0,33;0,11;1,21;0,19;0,08;0,1;7
I;0,45;0,33;0,1;14,44;0,19;0,1;0,1;6
I;0,45;0,33;0,11;13,11;0,16;0,09;0,1;6
I;0,46;0,35;0,12;12,52;0,18;0,1;0,12;7
M;0,47;0,36;0,11;11,71;0,27;0,14;0,13;7
I;0,47;0,38;0,13;1,11;0,21;0,11;0,14;6
I;0,48;0,35;0,11;1,43;0,21;0,1;0,13;6
I;0,48;0,35;0,1;16,2;0,22;0,11;0,12;7
I;0,48;0,38;0,13;10,39;0,34;0,11;0,17;8
M;0,49;0,47;0,13;1,52;0,24;0,13;0,14;7
I;0,5;0,38;0,14;11,26;0,25;0,11;0,16;7
I;0,5;0,38;0,12;10,19;0,22;0,12;0,17;9
I;0,5;0,38;0,13;1,16;0,25;0,11;0,13;8
M;0,5;0,39;0,13;10,74;0,25;0,12;0,13;6
F;0,51;0,39;0,13;1,23;0,25;0,15;0,14;7
I;0,51;0,41;0,13;1,15;0,35;0,14;0,18;8
F;0,51;0,4;0,13;1,15;0,26;0,12;0,14;6
I;0,51;0,4;0,13;11,06;0,26;0,12;0,15;9
I;0,51;0,38;0,12;1,56;0,22;0,11;0,17;8
I;0,52;0,39;0,13;1,06;0,32;0,13;0,15;8
M;0,52;0,4;0,15;1,17;0,35;0,18;0,19;9
I;0,52;0,38;0,14;14,69;0,23;0,13;0,16;8
I;0,52;0,38;0,13;13,66;0,29;0,13;0,17;8
F;0,52;0,46;0,15;16,94;0,52;0,2;0,25;7
I;0,53;0,4;0,13;1,18;0,33;0,12;0,17;8
I;0,53;0,4;0,14;1,07;0,26;0,13;0,18;9
M;0,53;0,41;0,12;10,89;0,38;0,16;0,2;9
I;0,53;0,4;0,12;1,1;0,3;0,14;0,14;8
I;0,53;0,4;0,13;1,28;0,28;0,13;0,19;8
I;0,54;0,39;0,13;11,29;0,26;0,15;0,17;9
I;0,54;0,42;0,14;11,12;0,31;0,14;0,19;10
M;0,55;0,39;0,14;14,61;0,42;0,18;0,16;7
M;0,55;0,41;0,12;10,11;0,43;0,14;0,19;9
M;0,55;0,42;0,14;10,77;0,46;0,13;0,22;9
F;0,55;0,42;0,14;12,23;0,43;0,19;0,18;8
F;0,55;0,43;0,15;1,62;0,4;0,2;0,22;8
M;0,55;0,43;0,15;10,32;0,41;0,18;0,22;10
M;0,56;0,43;0,15;10,17;0,46;0,18;0,23;9
M;0,56;0,45;0,16;12,5;0,42;0,22;0,22;8
F;0,56;0,44;0,16;11,69;0,34;0,18;0,25;8
M;0,56;0,42;0,15;1,15;0,43;0,19;0,21;8
M;0,57;0,46;0,15;1,09;0,46;0,24;0,23;9
M;0,57;0,44;0,15;10,33;0,58;0,18;0,21;8
F;0,57;0,45;0,18;1,17;0,45;0,24;0,26;9
M;0,57;0,46;0,15;13,72;0,54;0,2;0,25;9
F;0,57;0,45;0,15;15,06;0,41;0,22;0,22;8
I;0,57;0,44;0,15;19,05;0,34;0,16;0,22;8
F;0,58;0,46;0,15;24,93;0,47;0,23;0,27;7
F;0,58;0,45;0,16;1,07;0,56;0,21;0,26;10
M;0,58;0,44;0,14;11,39;0,4;0,19;0,22;9
F;0,58;0,47;0,17;1,23;0,44;0,2;0,24;9
M;0,58;0,46;0,14;12,64;0,42;0,2;0,26;9
I;0,58;0,44;0,13;10,75;0,32;0,22;0,25;10
M;0,58;0,45;0,17;1,4;0,55;0,22;0,23;9
M;0,58;0,45;0,15;11,33;0,42;0,19;0,22;9
M;0,58;0,46;0,15;11,12;0,48;0,22;0,27;8
M;0,58;0,46;0,2;1,26;0,95;0,43;0,44;9
M;0,58;0,45;0,14;1,44;0,38;0,19;0,22;9
M;0,58;0,45;0,14;13,64;0,49;0,18;0,25;9
M;0,58;0,45;0,15;11,44;0,55;0,2;0,23;8
F;0,58;0,45;0,16;14,55;0,39;0,25;0,27;9
M;0,59;0,46;0,15;1,48;0,48;0,18;0,24;9
M;0,59;0,47;0,16;16,89;0,46;0,24;0,27;7
M;0,59;0,47;0,15;20,73;0,48;0,23;0,24;8
F;0,6;0,48;0,16;1,79;0,49;0,25;0,26;9
M;0,6;0,46;0,17;1,52;0,7;0,24;0,24;8
F;0,6;0,47;0,15;11,16;0,55;0,26;0,25;8
M;0,6;0,47;0,16;10,16;0,51;0,25;0,23;10
F;0,61;0,47;0,17;1,16;0,61;0,23;0,29;9
M;0,61;0,48;0,14;1,21;0,56;0,26;0,27;9
M;0,61;0,48;0,17;11,35;0,58;0,24;0,32;10
F;0,61;0,48;0,17;1,23;0,43;0,22;0,36;9
M;0,61;0,49;0,16;10,82;0,53;0,21;0,24;8
M;0,61;0,49;0,15;1,18;0,78;0,23;0,29;9
M;0,61;0,47;0,17;11,64;0,5;0,24;0,27;9
M;0,62;0,46;0,17;11,55;0,48;0,27;0,27;10
F;0,62;0,47;0,15;13,35;0,46;0,18;0,24;9
F;0,62;0,48;0,16;1,47;0,45;0,25;0,29;9
M;0,62;0,47;0,14;1,49;0,53;0,2;0,25;8
M;0,62;0,45;0,2;15,59;0,43;0,15;0,24;8
F;0,62;0,48;0,16;13,28;0,56;0,24;0,28;8
F;0,63;0,49;0,18;16,62;0,73;0,27;0,33;9
M;0,63;0,48;0,19;1,49;0,59;0,29;0,29;8
M;0,63;0,47;0,16;17,37;0,59;0,21;0,29;8
M;0,63;0,5;0,18;16,61;0,56;0,31;0,34;10
F;0,64;0,5;0,02;1,35;0,51;0,31;0,29;9
M;0,64;0,52;0,17;17,41;0,63;0,34;0,36;10
M;0,65;0,53;0,2;17,19;0,65;0,29;0,37;10
F;0,65;0,48;0,17;12,37;0,53;0,25;0,31;10
F;0,65;0,5;0,19;1,19;0,64;0,34;0,42;9
M;0,65;0,5;0,16;1,04;0,57;0,31;0,29;11
M;0,66;0,52;0,16;1,06;0,55;0,37;0,35;11
F;0,66;0,51;0,18;10,81;0,59;0,37;0,36;10
F;0,66;0,53;0,19;1,06;0,55;0,27;0,48;11
M;0,67;0,53;0,16;1,16;0,63;0,28;0,34;8
I;0,67;0,5;0,17;1,09;0,6;0,29;0,36;9
F;0,67;0,51;0,21;1,04;0,61;0,3;0,35;9
F;0,69;0,54;0,22;11,42;0,66;0,37;0,47;14
M;0,69;0,52;0,17;13,34;0,7;0,37;0,4;10
F;0,69;0,54;0,16;1,27;0,62;0,31;0,39;9
M;0,69;0,53;0,21;11,84;0,74;0,41;0,39;12
F;0,69;0,53;0,17;12,14;0,79;0,35;0,37;9
M;0,7;0,56;0,19;10,32;0,89;0,37;0,44;10
M;0,7;0,57;0,18;13,7;0,9;0,34;0,45;9
M;0,7;0,58;0,19;13,75;1095;0,42;0,64;12
F;0,7;0,53;0,19;1,46;0,85;0,31;0,4;9
F;0,71;0,55;0,17;16,28;0,64;0,24;0,3;9
F;0,71;0,56;0,18;13,88;0,74;0,38;0,45;11
M;0,72;0,55;0,19;12,84;10465;0,41;0,51;12
M;0,72;0,54;0,19;13,77;0,89;0,31;0,42;10
F;0,72;0,58;0,2;16,47;10265;0,48;0,54;10
F;0,72;0,55;0,2;1,27;0,9;0,47;0,52;10
M;0,72;0,57;0,15;2,33;0,69;0,19;0,27;8
M;0,73;0,51;0,19;10,43;1026;0,43;0,45;12
F;0,73;0,58;0,19;13,48;0,93;0,38;0,48;12
M;0,74;0,59;0,19;10,74;0,95;0,55;0,5;11
M;0,75;0,57;0,22;14,34;0,9;0,46;0,5;11
F;0,75;0,57;0,21;1,3;1109;0,52;0,55;11
F;0,76;0,63;0,21;1,39;11965;0,51;0,68;11
M;0,76;0,58;0,21;12,65;0,83;0,4;0,6;10
F;0,78;0,63;0,22;1,28;1488;0,5;0,59;11
I;0,19;0,38;0,12;1,58;0,2;0,1;0,15;6
I;0,25;0,21;0,06;14,36;0,03;0,01;0,02;4
I;0,25;0,19;0,07;15,96;0,03;0,01;0,02;5
I;0,25;0,19;0,07;2,04;0,04;0,02;0,03;5
I;0,28;0,2;0,09;1,03;0,05;0,03;0,04;6
I;0,31;0,22;0,07;10,46;0,04;0,02;0,04;5
I;0,31;0,23;0,07;1,08;0,44;0,02;0,04;5
I;0,32;0,23;0,08;1,01;0,05;0,03;0,04;5
I;0,32;0,23;0,07;1,12;0,05;0,02;0,04;5
I;0,33;0,23;0,08;11,25;0,06;0,03;0,09;6
I;0,33;0,25;0,1;11,35;0,1;0,04;0,05;7
I;0,33;0,21;0,1;10,81;0,08;0,03;0,04;5
I;0,34;0,25;0,09;10,84;0,1;0,04;0,05;7
I;0,34;0,25;0,09;1,24;0,08;0,03;0,06;6
I;0,35;0,26;0,1;13,92;0,09;0,04;0,06;6
I;0,35;0,26;0,09;1,09;0,11;0,04;0,05;5
I;0,35;0,27;0,08;10,86;0,1;0,04;0,07;6
I;0,35;0,26;0,09;13,03;0,09;0,03;0,05;8
I;0,36;0,27;0,09;1,22;0,09;0,04;0,06;4
I;0,37;0,27;0,09;1,31;0,08;0,04;0,06;6
I;0,37;0,27;0,09;1,27;0,08;0,04;0,06;7
I;0,37;0,27;0,09;14,87;0,09;0,05;0,06;7
I;0,37;0,29;0,09;13,66;0,09;0,07;0,08;7
I;0,37;0,28;0,09;1,28;0,11;0,04;0,06;6
I;0,38;0,29;0,1;12,08;0,1;0,04;0,06;5
I;0,38;0,29;0,09;1,28;0,12;0,05;0,07;7
I;0,38;0,28;0,09;14,28;0,09;0,04;0,08;6
I;0,38;0,28;0,1;1,16;0,11;0,04;0,08;6
I;0,38;0,28;0,08;13,69;0,08;0,05;0,07;8
I;0,38;0,27;0,09;1,43;0,09;0,04;0,07;7
I;0,38;0,28;0,11;1,26;0,11;0,05;0,08;6
I;0,38;0,27;0,08;1,76;0,09;0,04;0,07;8
I;0,39;0,29;0,09;1,28;0,11;0,06;0,07;9
I;0,39;0,28;0,09;1,22;0,1;0,04;0,07;8
I;0,39;0,3;0,1;15,58;0,15;0,06;0,07;7
I;0,39;0,28;0,09;1,53;0,1;0,04;0,07;5
I;0,39;0,3;0,1;14,99;0,17;0,06;0,09;7
I;0,4;0,31;0,11;1,89;0,11;0,06;0,09;8
I;0,4;0,3;0,1;1,43;0,12;0,06;0,09;8
I;0,4;0,27;0,1;14,39;0,14;0,06;0,08;5
I;0,4;0,29;0,1;1,56;0,12;0,06;0,08;5
I;0,41;0,29;0,09;1,79;0,13;0,05;0,08;6
I;0,41;0,34;0,11;2,55;0,16;0,07;0,17;7
I;0,42;0,31;0,09;11,66;0,17;0,06;0,08;6
I;0,43;0,33;0,11;1,76;0,17;0,05;0,1;7
I;0,43;0,32;0,1;11,22;0,13;0,06;0,11;7
I;0,43;0,31;0,09;1,17;0,14;0,07;0,08;7
I;0,43;0,34;0;10,38;0,21;0,09;0,12;8
I;0,43;0,32;0,1;1,22;0,18;0,08;0,1;8
I;0,44;0,32;0,11;1,12;0,16;0,07;0,12;7
I;0,44;0,34;0,12;12,64;0,21;0,08;0,12;9
I;0,45;0,33;0,11;1,24;0,21;0,09;0,12;9
I;0,46;0,35;0,11;14,05;0,16;0,08;0,13;8
F;0,46;0,37;0,12;18,19;0,18;0,11;0,12;8
I;0,46;0,33;0,1;17,53;0,36;0,08;0,11;8
I;0,46;0,36;0,11;10,54;0,22;0,1;0,11;7
I;0,46;0,35;0,11;11,79;0,16;0,08;0,11;9
F;0,46;0,37;0,13;12,21;0,21;0,1;0,14;8
I;0,47;0,34;0,11;1,11;0,14;0,07;0,11;11
I;0,47;0,37;0,1;11,31;0,18;0,09;0,14;8
I;0,47;0,36;0,18;12,56;0,21;0,11;0,15;8
I;0,47;0,36;0,12;1,18;0,17;0,09;0,12;8
I;0,48;0,36;0,1;12,43;0,25;0,09;0,14;8
I;0,48;0,38;0,12;1,07;0,18;0,09;0,15;8
I;0,48;0,36;0,11;1,13;0,21;0,11;0,15;8
I;0,48;0,37;0,13;12,08;0,24;0,1;0,17;9
I;0,48;0,36;0,12;1,23;0,21;0,11;0,13;8
I;0,48;0,37;0,1;1,47;0,22;0,08;0,14;8
I;0,5;0,36;0,12;15,79;0,21;0,1;0,15;8
I;0,5;0,38;0,13;14,76;0,22;0,12;0,16;7
M;0,5;0,4;0,12;15,55;0,22;0,14;0,17;8
I;0,5;0,38;0,14;1,59;0,29;0,1;0,16;9
M;0,5;0,42;0,14;19;0,3;0,14;0,21;9
I;0,5;0,38;0,15;1,36;0,24;0,14;0,19;9
I;0,5;0,41;0,14;14,58;0,26;0,16;0,2;9
I;0,5;0,38;0,13;2,38;0,26;0,12;0,16;7
I;0,5;0,4;0,14;1,14;0,29;0,12;0,2;9
I;0,51;0,41;0,13;11,69;0,3;0,11;0,18;8
I;0,51;0,38;0,12;1,06;0,26;0,14;0,18;7
I;0,51;0,4;0,11;1,13;0,25;0,1;0,17;8
I;0,52;0,38;0,12;11,67;0,33;0,13;0,16;7
I;0,52;0,42;0,14;1,54;0,34;0,14;0,21;13
I;0,52;0,4;0,14;17,83;0,32;0,13;0,18;9
I;0,52;0,4;0,13;1,54;0,23;0,14;0,18;10
I;0,52;0,4;0,13;1,6;0,3;0,13;0,19;9
I;0,53;0,4;0,13;1,37;0,37;0,14;0,16;9
M;0,53;0,42;0,16;1,02;0,43;0,14;0,2;9
I;0,53;0,42;0,13;1,08;0,39;0,11;0,17;9
I;0,53;0,42;0,16;1,42;0,47;0,11;0,19;10
I;0,53;0,42;0,11;14,16;0,25;0,12;0,19;9
I;0,53;0,43;0,13;1,63;0,42;0,12;0,21;9
I;0,54;0,4;0,14;11,78;0,29;0,12;0,15;9
I;0,54;0,42;0,15;1,06;0,36;0,14;0,23;8
F;0,54;0,41;0,13;15,42;0,34;0,14;0,21;9
M;0,54;0,44;0,15;1,22;0,35;0,14;0,19;9
F;0,54;0,42;0,15;1,05;0,43;0,16;0,22;10
I;0,54;0,42;0,14;1,83;0,32;0,14;0,23;9
